Description,Number of Beds,Price (HKD)
Home in Shinjuku City,7 beds,"$1,436 HKD
 night
$1,436 HKD per night"
Home in 新宿区,5 beds,"$2,032 
$1,828 HKD
 night
$1,828 HKD per night, originally $2,032"
Private room in Toshima-ku,1 single bed,"$197 
$152 HKD
 night
$152 HKD per night, originally $197"
"Private room in Minami Ward, Yokohama",1 bed,"$208 HKD
 night
$208 HKD per night"
Apartment in 墨田区,3 beds,"$1,212 
$658 HKD
 night
$658 HKD per night, originally $1,212"
Private room in Mito-shi,1 bed,"$267 HKD
 night
$267 HKD per night"
Home in Shinjuku City,1 bed,"$590 
$408 HKD
 night
$408 HKD per night, originally $590"
Hotel room in Chuo City,4 beds,"$1,424 HKD
 night
$1,424 HKD per night"
Apartment in 港区,1 bed,"$534 HKD
 night
$534 HKD per night"
Home in Shinjuku City,7 beds,"$2,368 HKD
 night
$2,368 HKD per night"
Apartment in Sumida City,4 floor mattresses,"$556 HKD
 night
$556 HKD per night"
Hotel room in Koto City,1 double bed,"$256 HKD
 night
$256 HKD per night"
"Private room in Naka Ward, Yokohama",2 single beds,"$182 HKD
 night
$182 HKD per night"
Hotel room in Chiyoda City,4 queen beds,"$461 HKD
 night
$461 HKD per night"
Shared room in Koto City,1 bed,"$131 
$82 HKD
 night
$82 HKD per night, originally $131"
Hotel room in Taito City,6 beds,"$1,179 
$825 HKD
 night
$825 HKD per night, originally $1,179"
Home in Shinjuku-ku,4 beds,"$1,643 
$1,282 HKD
 night
$1,282 HKD per night, originally $1,643"
Apartment in Sumida City,2 beds,"$601 
$418 HKD
 night
$418 HKD per night, originally $601"
Private room in Shibuya City,1 double bed,"$379 
$333 HKD
 night
$333 HKD per night, originally $379"
Shared room in Koto City,1 small double bed,"$91 HKD
 night
$91 HKD per night"
Private room in Sumida City,1 small double bed,"$163 
$143 HKD
 night
$143 HKD per night, originally $163"
Private room in Itabashi-ku,4 beds,"$163 HKD
 night
$163 HKD per night"
Loft in Toshima City,1 bed,"$379 
$312 HKD
 night
$312 HKD per night, originally $379"
Apartment in Shibuya,4 beds,"$869 
$795 HKD
 night
$795 HKD per night, originally $869"
Apartment in 杉並区,5 beds,"$942 HKD
 night
$942 HKD per night"
Apartment in Taito City,1 small double bed,"$459 
$286 HKD
 night
$286 HKD per night, originally $459"
Private room in Kawasaki,1 single bed,"$190 HKD
 night
$190 HKD per night"
Vacation home in Sumida City,1 bed,"$271 HKD
 night
$271 HKD per night"
Apartment in Sumida-ku,2 beds,"$742 
$512 HKD
 night
$512 HKD per night, originally $742"
Home in Edogawa-ku,7 beds,"$1,085 HKD
 night
$1,085 HKD per night"
Shared room in Sumida City,1 single bed,"$100 HKD
 night
$100 HKD per night"
Home in 豊島区,6 beds,"$1,445 
$1,274 HKD
 night
$1,274 HKD per night, originally $1,445"
Apartment in Katsushika City,2 beds,"$255 
$230 HKD
 night
$230 HKD per night, originally $255"
Private room in Narita,2 single beds,"$292 HKD
 night
$292 HKD per night"
Home in Taito City,1 bed,"$963 
$640 HKD
 night
$640 HKD per night, originally $963"
Hotel room in Taito City,,"$722 
$512 HKD
 night
$512 HKD per night, originally $722"
