Source,Location,Number of Beds,Type,Price (HKD)
Hotel,Shinjuku,1.0,Hotel Room,714.0
Hotel,Taito,1.0,Hotel Room,1037.0
Hotel,Minato,1.0,Hotel Room,611.0
Hotel,Ota,,Apartment,838.0
Hotel,Sumida,1.0,Hotel Room,1060.0
Hotel,Chiyoda,2.0,Hotel Room,5174.0
Hotel,Setagaya,1.0,Hotel Room,1849.0
Hotel,Shinjuku,2.0,Hotel Room,610.0
Hotel,Bunkyo,1.0,Hotel Room,1092.0
Hotel,Taito,1.0,Hotel Room,541.0
Hotel,Minato,1.0,Hotel Room,6483.0
Hotel,Chuo,1.0,Hotel Room,893.0
Hotel,Minato,1.0,Hotel Room,790.0
Hotel,Shinjuku,1.0,Hotel Room,606.0
Hotel,Bunkyo,1.0,Hotel Room,1016.0
Hotel,Taito,1.0,Dormitory,270.0
Hotel,Toshima,1.0,Hotel Room,523.0
Hotel,Chuo,1.0,Hotel Room,4591.0
Hotel,Minato,1.0,Dormitory,389.0
Hotel,Edogawa,1.0,Hotel Room,503.0
Hotel,Taito,1.0,Hotel Room,519.0
Hotel,Toshima,1.0,Hotel Room,911.0
Hotel,Ota,1.0,Hotel Room,606.0
Hotel,Toshima,1.0,Hotel Room,990.0
Hotel,Edogawa,1.0,Hotel Room,828.0
Hotel,Sumida,1.0,Hotel Room,649.0
Hotel,Shinjuku,1.0,Hotel Room,671.0
Hotel,Shinjuku,1.0,Hotel Room,671.0
Hotel,Shinjuku,1.0,Dormitory,389.0
Hotel,Arakawa,1.0,Hotel Room,740.0
Hotel,(outside tokyo),1.0,Hotel Room,1060.0
Hotel,Taito,1.0,Hotel Room,285.0
Hotel,Chuo,1.0,Dormitory,318.0
Hotel,Shinagawa,1.0,Hotel Room,2117.0
Hotel,Ota,1.0,Hotel Room,1158.0
Hotel,Taito,1.0,Hotel Room,1201.0
Hotel,Minato,1.0,Hotel Room,678.0
Hotel,Chuo,1.0,Hotel Room,663.0
Hotel,Chiyoda,1.0,Dormitory,619.0
Hotel,Minato,1.0,Hotel Room,831.0
Hotel,Minato,1.0,Hotel Room,865.0
Hotel,Minato,1.0,Hotel Room,714.0
Hotel,Koto,1.0,Dormitory,249.0
Hotel,Nerima,1.0,Hotel Room,695.0
Hotel,(outside tokyo),3.0,Hotel Room,2713.0
Hotel,Minato,1.0,Hotel Room,628.0
Hotel,Toshima,1.0,Hotel Room,672.0
Hotel,Chiyoda,1.0,Hotel Room,1153.0
Hotel,Toshima,1.0,Hotel Room,703.0
Hotel,Shinjuku,1.0,Hotel Room,1098.0
Hotel,Sumida,1.0,Dormitory,195.0
Hotel,Toshima,1.0,Hotel Room,945.0
Hotel,Taito,1.0,Hotel Room,476.0
Hotel,Chuo,1.0,Hotel Room,487.0
Hotel,Shinagawa,1.0,Hotel Room,683.0
Hotel,Shinjuku,1.0,Hotel Room,962.0
Hotel,Toshima,1.0,Hotel Room,1298.0
Hotel,Chuo,4.0,Hotel Room,2678.0
Hotel,Taito,1.0,Dormitory,205.0
Hotel,Kita,1.0,Hotel Room,630.0
Hotel,Setagaya,2.0,Hotel Room,3462.0
Hotel,Taito,1.0,Hotel Room,649.0
Hotel,Minato,1.0,Hotel Room,1255.0
Hotel,Taito,1.0,Hotel Room,569.0
Hotel,Chiyoda,1.0,Hotel Room,1310.0
Hotel,Minato,1.0,Hotel Room,820.0
Hotel,Taito,1.0,Hotel Room,925.0
Hotel,Toshima,1.0,Hotel Room,740.0
Hotel,Chuo,1.0,Hotel Room,774.0
Hotel,Chiyoda,1.0,Hotel Room,581.0
Hotel,Shibuya,1.0,Hotel Room,4938.0
Hotel,Koto,1.0,Hotel Room,490.0
Hotel,Taito,1.0,Hotel Room,512.0
Hotel,Chuo,1.0,Hotel Room,2402.0
Hotel,Chuo,1.0,Hotel Room,822.0
Hotel,Chuo,1.0,Hotel Room,1590.0
Hotel,Koto,,Hotel Room,752.0
Hotel,Shinagawa,1.0,Hotel Room,622.0
Hotel,Chuo,1.0,Hotel Room,968.0
Hotel,Taito,1.0,Hotel Room,571.0
Hotel,Ota,1.0,Hotel Room,538.0
Hotel,Minato,1.0,Hotel Room,725.0
Hotel,Minato,1.0,Hotel Room,1244.0
Hotel,Meguro,1.0,Hotel Room,1066.0
Hotel,Ota,1.0,Hotel Room,1036.0
Hotel,Chuo,1.0,Hotel Room,2618.0
Hotel,Chuo,1.0,Hotel Room,652.0
Hotel,Minato,1.0,Hotel Room,837.0
Hotel,Chuo,1.0,Hotel Room,843.0
Hotel,Shinjuku,1.0,Hotel Room,749.0
Hotel,Chiyoda,1.0,Dormitory,346.0
Hotel,Shibuya,1.0,Hotel Room,2261.0
Hotel,Taito,1.0,Hotel Room,342.0
Hotel,Kita,1.0,Hotel Room,680.0
Hotel,Bunkyo,1.0,Hotel Room,820.0
Hotel,Taito,1.0,Dormitory,357.0
Hotel,Taito,1.0,Hotel Room,813.0
Hotel,(outside tokyo),2.0,Hotel Room,1634.0
Hotel,Shinjuku,2.0,Hotel Room,854.0
Hotel,Shibuya,1.0,Hotel Room,1363.0
Hotel,Shinjuku,1.0,Hotel Room,613.0
Hotel,Chiyoda,1.0,Hotel Room,591.0
Hotel,Taito,1.0,Hotel Room,974.0
Hotel,Sumida,1.0,Hotel Room,524.0
Hotel,Chiyoda,1.0,Hotel Room,6547.0
Hotel,Chuo,1.0,Hotel Room,1345.0
Hotel,Shinjuku,1.0,Hotel Room,644.0
Hotel,Shinjuku,1.0,Dormitory,541.0
Hotel,Edogawa,1.0,Hotel Room,795.0
Hotel,Chuo,,Hotel Room,2255.0
Hotel,Adachi,1.0,Hotel Room,779.0
Hotel,Ota,1.0,Hotel Room,552.0
